Designator,Mid X,Mid Y,Layer,Rotation
D118,88.000000,-20.000000,top,0.0
D119,88.000000,-24.000000,top,0.0
D120,88.000000,-28.000000,top,0.0
D121,92.000000,0.000000,top,0.0
D122,92.000000,-4.000000,top,0.0
D123,92.000000,-8.000000,top,0.0
D124,92.000000,-12.000000,top,0.0
D125,92.000000,-16.000000,top,0.0
D126,92.000000,-20.000000,top,0.0
D127,92.000000,-24.000000,top,0.0
D128,92.000000,-28.000000,top,0.0
D129,96.000000,0.000000,top,0.0
D130,96.000000,-4.000000,top,0.0
D131,96.000000,-8.000000,top,0.0
D132,96.000000,-12.000000,top,0.0
D133,96.000000,-16.000000,top,0.0
D134,96.000000,-20.000000,top,0.0
D135,96.000000,-24.000000,top,0.0
D136,96.000000,-28.000000,top,0.0
D137,100.000000,0.000000,top,0.0
D138,100.000000,-4.000000,top,0.0
D139,100.000000,-8.000000,top,0.0
D140,100.000000,-12.000000,top,0.0
D141,100.000000,-16.000000,top,0.0
D142,100.000000,-20.000000,top,0.0
D143,100.000000,-24.000000,top,0.0
D144,100.000000,-28.000000,top,0.0
D145,104.000000,0.000000,top,0.0
D146,104.000000,-4.000000,top,0.0
D147,104.000000,-8.000000,top,0.0
D148,104.000000,-12.000000,top,0.0
D149,104.000000,-16.000000,top,0.0
D150,104.000000,-20.000000,top,0.0
D151,104.000000,-24.000000,top,0.0
D152,104.000000,-28.000000,top,0.0
D153,108.000000,0.000000,top,0.0
D154,108.000000,-4.000000,top,0.0
D155,108.000000,-8.000000,top,0.0
D156,108.000000,-12.000000,top,0.0
D157,108.000000,-16.000000,top,0.0
D158,108.000000,-20.000000,top,0.0
D159,108.000000,-24.000000,top,0.0
D160,108.000000,-28.000000,top,0.0
D161,112.000000,0.000000,top,0.0
D162,112.000000,-4.000000,top,0.0
D163,112.000000,-8.000000,top,0.0
D164,112.000000,-12.000000,top,0.0
D165,112.000000,-16.000000,top,0.0
D166,112.000000,-20.000000,top,0.0
D167,112.000000,-24.000000,top,0.0
D168,112.000000,-28.000000,top,0.0
D169,116.000000,0.000000,top,0.0
D170,116.000000,-4.000000,top,0.0
D171,116.000000,-8.000000,top,0.0
D172,116.000000,-12.000000,top,0.0
D173,116.000000,-16.000000,top,0.0
D174,116.000000,-20.000000,top,0.0
D175,116.000000,-24.000000,top,0.0
D176,116.000000,-28.000000,top,0.0
D177,120.000000,0.000000,top,0.0
D178,120.000000,-4.000000,top,0.0
D179,120.000000,-8.000000,top,0.0
D180,120.000000,-12.000000,top,0.0
D181,120.000000,-16.000000,top,0.0
D182,120.000000,-20.000000,top,0.0
D183,120.000000,-24.000000,top,0.0
D184,120.000000,-28.000000,top,0.0
D185,124.000000,0.000000,top,0.0
D186,124.000000,-4.000000,top,0.0
D187,124.000000,-8.000000,top,0.0
D188,124.000000,-12.000000,top,0.0
D189,124.000000,-16.000000,top,0.0
D190,124.000000,-20.000000,top,0.0
D191,124.000000,-24.000000,top,0.0
D192,124.000000,-28.000000,top,0.0
D193,128.000000,0.000000,top,0.0
D194,128.000000,-4.000000,top,0.0
D195,128.000000,-8.000000,top,0.0
D196,128.000000,-12.000000,top,0.0
D197,128.000000,-16.000000,top,0.0
D198,128.000000,-20.000000,top,0.0
D199,128.000000,-24.000000,top,0.0
D200,128.000000,-28.000000,top,0.0
D201,132.000000,0.000000,top,0.0
D202,132.000000,-4.000000,top,0.0
D203,132.000000,-8.000000,top,0.0
D204,132.000000,-12.000000,top,0.0
D205,132.000000,-16.000000,top,0.0
D206,132.000000,-20.000000,top,0.0
D207,132.000000,-24.000000,top,0.0
D208,132.000000,-28.000000,top,0.0
D209,136.000000,0.000000,top,0.0
D210,136.000000,-4.000000,top,0.0
D211,136.000000,-8.000000,top,0.0
D212,136.000000,-12.000000,top,0.0
D213,136.000000,-16.000000,top,0.0
D214,136.000000,-20.000000,top,0.0
D215,136.000000,-24.000000,top,0.0
D216,136.000000,-28.000000,top,0.0
D217,140.000000,0.000000,top,0.0
D218,140.000000,-4.000000,top,0.0
D219,140.000000,-8.000000,top,0.0
D220,140.000000,-12.000000,top,0.0
D221,140.000000,-16.000000,top,0.0
D222,140.000000,-20.000000,top,0.0
D223,140.000000,-24.000000,top,0.0
D224,140.000000,-28.000000,top,0.0
D225,144.000000,0.000000,top,0.0
D226,144.000000,-4.000000,top,0.0
D227,144.000000,-8.000000,top,0.0
D228,144.000000,-12.000000,top,0.0
D229,144.000000,-16.000000,top,0.0
